,Hoax Words,Frequency
736,bakar,31
737,bakat,2
738,bakjingan,1
739,bakmi,2
740,bakti,5
741,baku,2
742,bakul,1
743,bal,22
744,bala,2
745,baladhika,1
746,balai,5
747,balaikartini,1
748,balaikot,1
749,balantak,1
750,balap,1
751,balas,4
752,baleg,1
753,baliho,1
754,balik,14
755,balikin,1
756,balinine,1
757,balita,3
758,balitbangkes,2
759,balittan,1
760,balloon,1
761,balon,1
762,balut,3
763,bambangggg,1
764,bambangggggg,1
765,bamsoet,1
766,bamukmin,1
767,ban,16
768,bancassurance,1
769,banci,1
770,bandahara,1
771,bandar,4
772,bandara,63
773,banding,30
774,bandingin,2
775,bandinginnya,2
776,bandul,3
777,bandung,10
778,banerra,1
779,bang,1
780,bangalore,1
781,bangat,2
782,bangett,1
783,bangga,4
784,banggain,1
785,bangkal,3
786,bangkit,9
787,bangkrut,5
788,bangku,3
789,bangladesh,2
790,bangsa,60
791,bangsat,8
792,bangun,64
793,bangunin,1
794,bani,1
795,banjar,1
796,banjarmasin,1
797,banjarsari,1
798,banji,1
799,banjir,94
800,bank,10
801,banned,4
802,banner,4
803,banser,3
804,bantah,14
805,bantai,1
806,bantal,1
807,bantaran,1
808,banten,11
809,banting,2
810,bantu,137
811,bantuin,2
812,bany,1
813,banya,2
814,banyaaak,2
815,banyaak,1
816,banyaakkkk,1
817,banyak,23
818,banyakin,2
819,banyu,1
820,bapaaakkk,1
821,bapak,2
822,baqir,1
823,bar,4
824,bara,1
825,barang,23
826,barangkalai,1
827,barangkali,37
828,barasuara,3
829,barat,15
830,barbeque,1
831,bareng,101
832,bareskrim,2
833,baret,3
834,baris,3
835,barkas,1
836,barokah,1
837,barry,1
838,baru,31
839,barusan,16
840,bas,2
841,base,1
842,based,3
843,basi,9
844,basic,5
845,basis,1
846,baskara,2
847,basket,3
848,basmi,2
849,baso,1
850,basori,1
851,basrach,1
852,basri,13
853,basudara,3
854,basweda,1
855,baswedan,33
856,bat,3
857,bata,2
858,batagor,1
859,batai,1
860,batak,4
861,batal,25
862,batalyon,1
863,batam,5
864,batang,4
865,batas,51
866,baterai,1
867,baterei,1
868,batik,1
869,batin,6
870,batre,1
871,battery,1
872,battle,1
873,battles,1
874,batu,58
875,batubara,1
876,batuk,4
877,batur,1
878,bau,3
879,baw,1
880,bawa,69
881,bawah,20
882,bawain,2
883,bawang,4
884,bawaslu,20
885,bay,1
886,baya,4
887,bayam,1
888,bayang,12
889,bayangkara,1
890,bayar,59
891,bayclin,5
892,bayi,8
893,bayu,2
894,bayun,1
895,bazaar,3
896,bazzerp,1
897,bbagai,1
898,bbanyak,1
899,bbc,1
900,bbm,3
901,bbrapa,1
902,bbrp,12
903,bbtnbts,1
904,bca,2
905,bdg,1
906,beanggung,1
907,bearti,1
908,beat,1
909,beatle,1
910,beatles,4
911,beatt,1
912,beauty,1
913,beba,1
914,beban,18
915,bebas,8
916,bebasin,1
917,bebek,3
918,bebel,1
919,bebepa,1
920,beber,4
921,bebera,1
922,bebrapa,1
923,bebrpa,1
924,becak,2
925,becanda,2
926,becus,6
927,becusss,1
928,bed,2
929,beda,52
930,bedah,1
931,bedain,2
932,beebaran,1
933,beforenis,1
934,beg,1
935,begi,3
936,begim,1
937,begini,1
938,begitu,1
939,bego,6
940,begonoh,1
941,begum,1
942,beh,1
943,beijing,1
944,bejek,2
945,bejibun,1
946,bekal,3
947,bekas,27
948,beke,1
949,beking,1
950,bekne,1
951,beku,3
952,bela,12
953,belah,1
954,belaj,1
955,belakang,4
956,belanja,2
957,beli,32
958,belian,1
959,beliau,2
960,belio,3
961,belok,1
962,beltex,1
963,bem,4
964,benah,1
965,benar,22
966,bencana,16
967,benci,31
968,bencoleng,1
969,bendung,3
970,beneeerr,1
971,benef,1
972,beneran,10
973,benerin,5
974,benerkah,1
975,benerlah,1
976,beng,1
977,bengak,1
978,bengi,1
979,bengkak,2
980,bengkulu,2
981,benhil,2
982,benny,1
983,bensin,4
984,bentrok,2
985,bentuk,33
986,bentur,1
987,bepenghasilan,1
988,beraaaattt,1
989,berac,1
990,berahasa,1
991,beran,1
992,berangan,2
993,berangkat,2
994,berani,7
995,beranta,17
996,berantas,17
997,berapa,2
998,berb,1
999,berba,1
1000,berdeb,1
1001,berekpresi,1
