kata tidak baku,kata baku
jln,jalan
pgn,ingin
lnjt,lanjut
pg,pagi
mlm,malam
mkn,makan
lo,kamu
ato,atau
atw,atau
yak,ya
thdp,terhadap
karu2an,karuan
negri,negeri
sj,saja
cm,cuma
pake,pakai
dorong2an,dorong
blio,beliau
scr,secara
hepeng,uang
korup,korupsi
blkg,belakang
dg,dengan
takon,tanya
lali,lupa
yaa,ya
seolah2,seolah
aya,ada
bgmn,bagaimana
gmn,bagaimana
gimana,bagaimana
ad,ada
vs,versus
petingginua,petingginya
tsb,tersebut
kmrn,kemarin
pst,pasti
jelek2,jelek
sik,sih
jd,jadi
duwit,duit
tauuuuk,tahu
kalean,kalian
thd ,terhadap
masy,masyarakat
msh,masih
msk,masuk
gau,saya
lebay,berlebihan
jkt,jakarta
bdg,bandung
syg,sayang
pnya,punya
bener,benar
nulis,tulis
slh,salah
bnr,benar
slah,salah
tuk,untuk
klw,kalau
elo,kamu
idup,hidup
bego,bodoh
lg,lagi
udh,sudah
touris,turis
bkn ,bukan
ko,kok
yah,ya
merespons,merespon
ngurusin,mengurus
malem,malam
dapet,dapat
tbtb,tiba-tiba
nyantai,santai
bgtu,begitu
bangett,sangat
ktny,katanya
ktnya,katanya
paan ,apa
paansih,apa sih
paansih,apa sih
dimanapum,di mana pun
sebanyak2nya,sebanyaknya
dsb,dan sebagainya
dsbnya,dan sebagainya
min,admin
ayoo,ayo
menperkuat,memperkuat
share,bagi
macam2,berbagai macam
monangis,mau menangis
serem,seram
kenapaaaaa,kenapa
wuha,wuhan
cepet,cepat
ngga,tidak
ade,adik
trs,terus
apal,hafal
ajh,saja
ank,anak
bae,baik
ama,sama
tiba2,tiba-tiba
lagi2,lagi
lutcu,lucu
pager,pagar
tuh,itu
lho,loh
malamm,malam
suspek,terduga
gt,begitu
dah,sudah
gaboleh,tidak boleh
sedi,sedih
pen,ingin
ngerasain,merasakan
ai,saya
mlh,malah
drpd,daripada
emg,memang
gpp,tidak apa-apa
pntng,penting
ka,kakak
yaudah,ya sudah
skrg,sekarang
gituan,begitu
gapapa,tidak apa-apa
bet,sangat
w,saya
tidor,tidur
nerima,terima
skrang,sekarang
dlam,dalam
kmu,kamu
bsa,bisa
prgi,pergi
ninggalin,meninggalkan
bkan,bukan
brarti,berarti
trima,terima
cman,cuma
digituin,diperlakukan
yng,yang
dg,dengan
mimin,admin
indo,indonesia
ckup,cukup
tulung,tolong
nambah,tambah
datengin,datangkan
qt,kita
dung,dong
salfok,salah fokus
ngasih,kasih
mao,mau
seriusan,serius
aing,saya
udeh,udah
ngedadak,mendadak
spy,supaya
bawak,bawa
y,ya
gemes,gemas
ngajak,ajak
apaan,apa
bosen,bosan
ntar,nanti
aga,agak
rezeki,rejeki
apeni,apa nih
gausa,tidak perlu
gausah,tidak perlu
ae,saja
cakep,tampan
nyoba,coba
cabs,pergi
mutualan,berteman
kuy,yuk
gamain,tidak bermain
ketelen,ditelan
yu,yuk
blom,belum
bobo,tidur
gampamg,gampang
napa,kenapa
mslh,masalah
maw,mau
ayok,ayo
yok,ayo
br,baru
ayuk,ayo
tlg,tolong
kk,kakak
bgt,banget
sembuh2,sembuh
smbh,sembuh
seceng,seribu
gopek,lima ratus
gope,lima ratus
lagian,lagi
bang,abang
